POPULATION_NAME,FISCAL_YEAR,LESS7_CT,LESS7_CT_ANNOT,BETWEEN_8AND30_CT,BETWEEN_8AND30_CT_ANNOT,MORE30_CT,MORE30_CT_ANNOT,NO_STEP_CT,NO_STEP_CT_ANNOT,MIN_DAYS,MAX_DAYS,MEAN_DAYS,MEDIAN_DAYS,BENE_COUNT,BENE_COUNT_ANNOT
Alameda,2015,236,,23,,19,,,1,0,329,11.65055762,0,218,
Alameda,2016,207,,,1,14,,,2,0,339,7.03652968,0,177,
Alameda,2017,289,,13,,16,,306,,0,249,5.349834983,0,257,
Alameda,2018,320,,20,,11,,336,,0,317,4.243243243,0,271,
Alameda,2019,224,,32,,17,,253,,0,342,9.5256917,0,220,
Alpine,2019,0,,,1,0,,,1,14,14,14,14,,1
Amador,2015,,1,0,,,1,,1,0,182,47.25,3.5,,1
Amador,2016,,1,,1,,1,,1,2,108,25.16666667,10,,1
Amador,2017,,1,,1,,1,,1,1,18,5,2,,1
Amador,2018,,1,,1,,1,11,,0,171,40.36363636,37,,1
Amador,2019,,1,,1,,1,12,,0,224,26.5,2,11,
Butte,2015,82,,,1,,1,,1,0,307,7.887640449,1,72,
Butte,2016,82,,,1,,1,88,,0,40,3.563218391,1,72,
Butte,2017,89,,13,,,1,,2,0,263,11.72115385,2,79,
Butte,2018,99,,,1,,1,108,,0,203,6.537037037,1,87,
Butte,2019,77,,,1,,1,79,,0,76,5.607594937,1,73,
Calaveras,2015,12,,,1,,1,0,,0,59,12.94117647,0,12,
Calaveras,2016,19,,0,,,1,,2,0,39,2.578947368,0,12,
Calaveras,2017,16,,,1,,1,17,,0,90,6.764705882,0,15,
Calaveras,2018,15,,,1,0,,,2,0,19,3.526315789,0,16,
Calaveras,2019,29,,0,,0,,27,,0,4,0.296296296,0,22,
Colusa,2015,,1,0,,0,,0,,0,0,0,0,,1
Colusa,2016,,1,0,,0,,,1,0,4,1.166666667,1,,1
Colusa,2017,,1,0,,,1,,1,1,50,11.16666667,3.5,,1
Colusa,2018,,1,0,,,1,,1,1,121,37,2,,1
Colusa,2019,,1,0,,0,,,1,0,3,1.5,1.5,,1
Contra Costa,2015,270,,15,,16,,,1,0,322,7.448979592,0,231,
Contra Costa,2016,275,,14,,20,,297,,0,335,8.871186441,0,241,
Contra Costa,2017,274,,12,,,1,,2,0,216,3.151943463,0,228,
Contra Costa,2018,368,,26,,21,,403,,0,311,5.365671642,0,307,
Contra Costa,2019,338,,36,,18,,365,,0,288,7.57260274,0,316,
Del Norte,2015,,1,,1,0,,,1,0,12,2.5,0.5,,1
Del Norte,2016,11,,0,,0,,11,,0,6,1.818181818,1,,1
Del Norte,2017,,1,,1,,1,,1,0,82,15.125,2.5,,1
Del Norte,2018,,1,,1,0,,,1,0,13,1.777777778,0,,1
Del Norte,2019,12,,,1,,1,,1,0,42,7.3,3,13,
El Dorado,2015,22,,,1,,1,,1,0,178,22.56666667,5.5,32,
El Dorado,2016,24,,,1,,1,34,,0,346,43.38235294,7,32,
El Dorado,2017,33,,15,,16,,54,,0,181,23.92,8.5,49,
El Dorado,2018,34,,,1,,1,38,,0,276,24.84210526,3,40,
El Dorado,2019,39,,,1,,1,39,,0,278,17.53846154,5,44,
Fresno,2015,375,,59,,24,,17,,0,283,6.958810069,0,307,
Fresno,2016,273,,11,,16,,285,,0,294,5.386524823,0,224,
Fresno,2017,422,,18,,22,,445,,0,306,6.743764172,0,355,
Fresno,2018,454,,26,,,1,,2,0,353,3.851528384,0,371,
Fresno,2019,372,,59,,14,,405,,0,279,5.772839506,0,344,
Glenn,2015,12,,,1,,1,0,,0,31,4.357142857,0,,1
Glenn,2016,,1,,1,,1,,1,0,97,22.4,0,,1
Glenn,2017,15,,0,,,1,,2,0,99,7.2,0,14,
Glenn,2018,15,,,1,0,,,2,0,16,1.866666667,0,14,
Glenn,2019,,1,,1,0,,,1,0,12,1.888888889,1,,1
Humboldt,2015,,1,,1,,1,0,,0,71,8.833333333,2.5,12,
Humboldt,2016,18,,,1,0,,,2,0,9,2,1,14,
Humboldt,2017,28,,,1,,1,31,,0,216,13.25806452,0,29,
Humboldt,2018,25,,,1,,1,35,,0,124,10.47058824,4.5,32,
Humboldt,2019,45,,12,,,1,,2,0,62,6.807017544,3,38,
Imperial,2015,19,,,1,,1,,1,0,175,18.95454545,1,22,
Imperial,2016,21,,,1,,1,25,,0,129,14.69565217,1,22,
Imperial,2017,33,,,1,,1,41,,0,34,3.692307692,0,30,
Imperial,2018,14,,,1,,1,16,,0,281,31.25,2,20,
Imperial,2019,20,,,1,,1,19,,0,229,13.36842105,0,21,
Inyo,2015,,1,0,,0,,,1,0,6,3,3,,1
Inyo,2016,,1,,1,,1,,1,1,14,6.833333333,6.5,,1
Inyo,2017,,1,0,,,1,,1,0,34,8,0,,1
Inyo,2018,,1,,1,0,,,1,0,16,2.75,0,,1
Inyo,2019,0,,,1,,1,,1,8,52,30,30,,1
Kern,2015,169,,50,,57,,19,,0,352,26.94285714,4,203,
Kern,2016,166,,35,,25,,204,,0,347,15.87373737,3,171,
Kern,2017,102,,20,,16,,120,,0,329,20.02564103,3,111,
Kern,2018,177,,24,,25,,208,,0,329,16.95098039,2,169,
Kern,2019,272,,43,,22,,306,,0,359,12.97712418,3,245,
Kings,2015,36,,,1,,1,,1,0,151,4.894736842,0,31,
Kings,2016,20,,,1,,1,22,,0,299,14.86363636,0,20,
Kings,2017,27,,,1,0,,,2,0,10,0.444444444,0,20,
Kings,2018,26,,,1,,1,31,,0,25,2.037037037,0,25,
Kings,2019,66,,,1,0,,,2,0,23,1.107692308,0,48,
Lake,2015,40,,,1,,1,,1,0,161,18.41176471,2,47,
Lake,2016,40,,,1,,1,50,,0,249,19.7,1,38,
Lake,2017,44,,,1,,1,61,,0,279,19.31034483,2,48,
Lake,2018,39,,,1,,1,44,,0,215,12.22727273,1,37,
Lake,2019,52,,,1,,1,62,,0,44,5.983870968,0,48,
Large Counties,2015,5141,,1185,,1120,,802,,0,364,20.00170279,2,5485,
Large Counties,2016,6044,,796,,706,,6840,,0,364,13.18122206,0,5572,
Large Counties,2017,6618,,739,,636,,7247,,0,365,10.96668533,0,5984,
Large Counties,2018,6581,,779,,603,,7158,,0,364,11.3831947,0,5999,
Large Counties,2019,6363,,871,,541,,6732,,0,359,11.05160619,1,6039,
Lassen,2015,16,,0,,,1,,1,0,34,4.733333333,3,11,
Lassen,2016,14,,,1,,1,20,,0,195,23.42105263,1,13,
Lassen,2017,15,,,1,,1,19,,0,24,5.333333333,2.5,11,
Lassen,2018,,1,,1,0,,,1,1,26,5.888888889,2,,1
Lassen,2019,,1,0,,,1,,1,0,70,16.85714286,4,,1
Los Angeles,2015,4686,,1421,,1060,,757,,0,365,20.41989479,4,4819,
Los Angeles,2016,5113,,784,,665,,5991,,0,361,12.60156117,1,4546,
Los Angeles,2017,5829,,835,,623,,6611,,0,365,11.84898711,1,5107,
Los Angeles,2018,5266,,815,,586,,5958,,0,364,12.65059423,1,5026,
Los Angeles,2019,5417,,519,,315,,5656,,0,354,7.461402266,0,4720,
Madera,2015,41,,,1,,1,,1,0,212,14.17307692,2,42,
Madera,2016,17,,,1,,1,20,,0,242,18.3,1.5,23,
Madera,2017,37,,,1,,1,48,,0,208,13.52083333,1.5,34,
Madera,2018,46,,,1,,1,49,,0,45,6.428571429,1,43,
Madera,2019,51,,,1,,1,57,,0,174,9.035087719,3,53,
Marin,2015,31,,,1,,1,,1,0,175,12.71052632,1,39,
Marin,2016,39,,,1,,1,42,,0,363,35.48780488,0,37,
Marin,2017,61,,,1,,1,60,,0,199,8,0,56,
Marin,2018,80,,,1,,1,81,,0,298,16.24691358,0,67,
Marin,2019,71,,,1,,1,69,,0,89,3.797101449,0,56,
Mariposa,2015,,1,0,,0,,0,,0,2,0.666666667,0,,1
Mariposa,2016,,1,,1,,1,,1,0,99,25,2,,1
Mariposa,2017,,1,,1,,1,13,,0,64,11.61538462,5,,1
Mariposa,2018,16,,0,,0,,16,,0,7,2.1875,1,,1
Mariposa,2019,,1,,1,0,,,1,0,8,2.333333333,1,,1
Medium Counties,2015,1395,,190,,154,,105,,0,361,11.37920299,0,1267,
Medium Counties,2016,1300,,178,,139,,1492,,0,365,12.93519782,0,1250,
Medium Counties,2017,1485,,194,,149,,1712,,0,360,11.35123967,0,1381,
Medium Counties,2018,1677,,201,,162,,1862,,0,344,10.28184282,1,1540,
Medium Counties,2019,1538,,221,,108,,1638,,0,352,9.727161251,1,1473,
Mendocino,2015,50,,,1,,1,,1,0,37,2.604166667,1,44,
Mendocino,2016,51,,,1,,1,62,,0,209,9.288135593,1,56,
Mendocino,2017,66,,15,,,1,,2,0,87,8.44047619,2,65,
Mendocino,2018,84,,,1,,1,86,,0,365,19.70238095,1,73,
Mendocino,2019,72,,15,,,1,,2,0,358,13.6091954,2,76,
Merced,2015,65,,25,,26,,11,,0,347,36.89320388,7,85,
Merced,2016,56,,20,,,1,,2,0,310,12.11428571,4,68,
Merced,2017,97,,36,,14,,137,,0,350,13.1037037,5,105,
Merced,2018,122,,32,,21,,158,,0,321,18.47770701,4,138,
Merced,2019,96,,27,,,1,,2,0,287,14.56140351,4,105,
Modoc,2015,,1,0,,,1,0,,0,68,27,20,,1
Modoc,2016,,1,,1,0,,,1,0,19,4.833333333,2.5,,1
Modoc,2017,,1,0,,,1,,1,0,187,37.8,1,,1
Modoc,2018,,1,0,,,1,,1,0,119,40,20.5,,1
Modoc,2019,,1,0,,0,,,1,0,3,1.25,1,,1
Mono,2015,,1,0,,0,,0,,1,1,1,1,,1
Mono,2017,,1,0,,,1,,1,112,112,112,112,,1
Mono,2018,,1,0,,0,,,1,1,5,3,3,,1
Mono,2019,,1,,1,0,,,1,1,21,11,11,,1
Monterey,2015,137,,,1,11,,,1,0,269,7.073825503,0,123,
Monterey,2016,139,,,1,,1,150,,0,250,5.945945946,0,119,
Monterey,2017,152,,11,,,1,,2,0,188,3.353658537,0,127,
Monterey,2018,172,,13,,,1,,2,0,50,2.155555556,0,157,
Monterey,2019,156,,34,,,1,,2,0,352,9.324324324,1,161,
Napa,2015,18,,,1,,1,,1,0,125,13.36363636,5,19,
Napa,2016,29,,,1,,1,31,,0,123,10.20689655,1,30,
Napa,2017,27,,,1,,1,30,,0,299,15.8,2.5,26,
Napa,2018,25,,13,,0,,37,,0,22,6.189189189,3,29,
Napa,2019,24,,,1,,1,27,,0,107,10.48148148,3,24,
Nevada,2015,23,,,1,,1,,1,0,77,7,0,23,
Nevada,2016,13,,,1,,1,20,,0,203,26.83333333,3.5,20,
Nevada,2017,28,,,1,0,,,2,0,15,2.137931034,0,29,
Nevada,2018,39,,,1,0,,,2,0,24,2.428571429,0.5,31,
Nevada,2019,42,,,1,,1,40,,0,36,2.275,0,31,
Orange,2015,429,,186,,232,,136,,0,360,36.14243323,11,621,
Orange,2016,784,,74,,75,,855,,0,362,12.07380952,0,707,
Orange,2017,857,,113,,103,,982,,0,348,12.8625,1,837,
Orange,2018,976,,97,,97,,1057,,0,288,12.09047619,1,876,
Orange,2019,1222,,135,,73,,1310,,0,332,8.877862595,1,1062,
Placer,2015,40,,14,,11,,,1,0,238,25.03636364,6,50,
Placer,2016,63,,20,,18,,84,,0,339,37.93902439,6.5,76,
Placer,2017,63,,17,,19,,82,,0,360,33.60493827,4,73,
Placer,2018,80,,22,,29,,95,,0,345,28.61956522,8.5,94,
Placer,2019,86,,14,,32,,85,,0,305,42.51190476,18.5,99,
Plumas,2015,,1,,1,,1,0,,0,156,41,21,,1
Plumas,2016,,1,0,,,1,,1,3,218,104.6666667,93,,1
Plumas,2017,11,,,1,,1,12,,0,364,34.54545455,1,13,
Plumas,2018,,1,0,,,1,,1,0,228,77,3,,1
Plumas,2019,,1,,1,,1,11,,0,48,10.09090909,2,,1
Riverside,2015,448,,145,,142,,107,,0,351,22.99666667,5,566,
Riverside,2016,501,,178,,124,,688,,0,358,23.48878924,5,645,
Riverside,2017,631,,204,,148,,849,,0,339,20.81212121,5,727,
Riverside,2018,550,,150,,109,,678,,0,335,20.28247734,4,665,
Riverside,2019,580,,153,,81,,634,,0,346,15.60031596,3,691,
Sacramento,2015,437,,99,,105,,70,,0,358,21.32798574,2,492,
Sacramento,2016,720,,129,,73,,829,,0,341,11.90452876,1,620,
Sacramento,2017,646,,97,,72,,728,,0,344,10.40864714,0,578,
Sacramento,2018,609,,113,,55,,685,,0,336,11.55457227,0,583,
Sacramento,2019,622,,102,,60,,668,,0,321,11.97904192,1,597,
San Benito,2015,,1,0,,,1,0,,0,58,8.625,0,,1
San Benito,2016,,1,,1,,1,,1,0,230,34.4,10,,1
San Benito,2017,15,,,1,,1,18,,0,221,25.64705882,3,16,
San Benito,2018,20,,,1,0,,,2,0,14,4.181818182,2.5,23,
San Benito,2019,,1,,1,,1,11,,0,51,10.63636364,4,12,
San Bernardino,2015,1098,,240,,243,,189,,0,364,20.90334572,1,1182,
San Bernardino,2016,1154,,154,,178,,1312,,0,364,16.50275374,0,1126,
San Bernardino,2017,1428,,99,,108,,1468,,0,365,9.851750172,0,1221,
San Bernardino,2018,1257,,151,,115,,1309,,0,364,11.96313364,0,1156,
San Bernardino,2019,1103,,166,,139,,1106,,0,327,15.34479638,1,1086,
San Diego,2015,626,,196,,156,,164,,0,345,25.5220681,5,712,
San Diego,2016,872,,48,,60,,905,,0,357,7.863687151,0,709,
San Diego,2017,846,,42,,55,,848,,0,365,9.116527943,0,720,
San Diego,2018,718,,51,,61,,739,,0,351,11.53396739,0,642,
San Diego,2019,680,,26,,34,,644,,0,322,6.333850932,0,595,
San Francisco,2015,100,,,1,,1,,1,0,344,11.7,0,82,
San Francisco,2016,107,,12,,,1,,2,0,225,10.31623932,0,99,
San Francisco,2017,141,,,1,,1,144,,0,136,3.176056338,0,112,
San Francisco,2018,103,,,1,,1,109,,0,344,6.783018868,0,97,
San Francisco,2019,78,,,1,,1,78,,0,238,7.58974359,0,77,
San Joaquin,2015,163,,,1,,1,,1,0,77,1.885542169,0,130,
San Joaquin,2016,139,,,1,,1,138,,0,232,3.362318841,0,126,
San Joaquin,2017,148,,,1,,1,150,,0,47,1.326666667,0,125,
San Joaquin,2018,187,,,1,11,,,2,0,170,4.910526316,0,161,
San Joaquin,2019,185,,17,,,1,,2,0,327,6.93877551,0,165,
San Luis Obispo,2015,71,,24,,,1,,1,0,118,8.552083333,3,55,
San Luis Obispo,2016,70,,18,,,1,,2,0,361,11.20689655,3,70,
San Luis Obispo,2017,84,,,1,,1,96,,0,118,10.11458333,3,69,
San Luis Obispo,2018,70,,,1,11,,,2,0,221,15.63953488,3,62,
San Luis Obispo,2019,84,,18,,,1,,2,0,265,10.03061224,3,86,
San Mateo,2015,270,,,1,,1,,1,0,279,3.007352941,0,209,
San Mateo,2016,288,,12,,,1,,2,0,281,3.395904437,0,224,
San Mateo,2017,262,,,1,,1,264,,0,290,3.242307692,0,211,
San Mateo,2018,291,,11,,15,,307,,0,294,6.793442623,0,242,
San Mateo,2019,272,,,1,,1,271,,0,246,4.280442804,0,236,
Santa Barbara,2015,86,,13,,12,,,1,0,266,14.81188119,3,82,
Santa Barbara,2016,107,,12,,,1,,2,0,227,6.958677686,0,76,
Santa Barbara,2017,109,,11,,,1,,2,0,242,6.415254237,0,93,
Santa Barbara,2018,58,,,1,,1,69,,0,314,14.76470588,2,64,
Santa Barbara,2019,59,,,1,,1,65,,0,38,3.953846154,1,53,
Santa Clara,2015,311,,109,,64,,29,,0,331,17.33707865,4,350,
Santa Clara,2016,370,,64,,58,,442,,0,359,16.68822171,3,368,
Santa Clara,2017,401,,53,,42,,459,,0,272,12.08791209,2,381,
Santa Clara,2018,481,,66,,34,,550,,0,345,9.706422018,1,400,
Santa Clara,2019,402,,57,,37,,451,,0,283,11.71973094,2,367,
Santa Cruz,2015,111,,,1,,1,,1,0,332,5.557522124,0,84,
Santa Cruz,2016,69,,,1,,1,76,,0,282,12.61333333,0,67,
Santa Cruz,2017,86,,,1,,1,86,,0,345,10.97674419,0,75,
Santa Cruz,2018,105,,12,,,1,,2,0,316,7.691588785,0,92,
Santa Cruz,2019,88,,18,,,1,,2,0,156,6.255319149,2,84,
Shasta,2015,53,,,1,,1,,1,0,224,8.509090909,0,49,
Shasta,2016,63,,,1,,1,63,,0,253,5.857142857,0,54,
Shasta,2017,89,,,1,,1,94,,0,168,5,0,80,
Shasta,2018,53,,,1,,1,54,,0,328,14.8490566,0,50,
Shasta,2019,47,,,1,,1,47,,0,271,14.12765957,0,47,
Sierra,2015,,1,0,,0,,,1,,,,,,1
Siskiyou,2015,,1,,1,0,,0,,0,15,8.846153846,11,,1
Siskiyou,2016,11,,,1,,1,14,,0,69,9.714285714,2,11,
Siskiyou,2017,20,,0,,,1,,2,0,169,14.82608696,1,16,
Siskiyou,2018,17,,,1,0,,,2,0,11,2.166666667,0,13,
Siskiyou,2019,13,,,1,,1,17,,0,143,22.35294118,4,16,
Small Counties,2015,435,,69,,56,,43,,0,224,10.88270378,1,444,
Small Counties,2016,395,,54,,51,,460,,0,346,14.27272727,1,406,
Small Counties,2017,596,,91,,59,,708,,0,299,9.545977011,1,551,
Small Counties,2018,532,,109,,49,,626,,0,365,11.28200972,1,543,
Small Counties,2019,628,,81,,50,,684,,0,358,9.461200586,1,582,
Small-Rural Counties,2015,71,,16,,12,,,1,0,182,11.87096774,2,72,
Small-Rural Counties,2016,84,,12,,12,,104,,0,218,13.20792079,1,79,
Small-Rural Counties,2017,120,,,1,16,,,2,0,364,13.16153846,1,112,
Small-Rural Counties,2018,105,,,1,12,,,2,0,285,12.78151261,1,101,
Small-Rural Counties,2019,97,,14,,,1,,2,0,224,9.644859813,1,101,
Solano,2015,66,,21,,11,,11,,0,361,17.88505747,3,71,
Solano,2016,84,,21,,,1,,2,0,231,11.68316832,4,88,
Solano,2017,70,,13,,,1,,2,0,198,11.95121951,1,65,
Solano,2018,94,,,1,,1,98,,0,83,6.164948454,1,78,
Solano,2019,121,,20,,,1,,2,0,229,11.29752066,2,109,
Sonoma,2015,205,,30,,15,,19,,0,275,6.159292035,0,164,
Sonoma,2016,163,,33,,18,,194,,0,296,12.55497382,0,168,
Sonoma,2017,165,,22,,33,,205,,0,233,11.3,0,176,
Sonoma,2018,171,,26,,16,,196,,0,326,8.628865979,0,165,
Sonoma,2019,164,,28,,,1,,2,0,317,7.688172043,1,165,
Stanislaus,2015,154,,16,,18,,,1,0,348,12.97109827,0,156,
Stanislaus,2016,140,,,1,13,,,2,0,365,14.00689655,0,134,
Stanislaus,2017,188,,,1,,1,196,,0,336,7.784615385,0,151,
Stanislaus,2018,202,,14,,,1,,2,0,102,2.924528302,0,156,
Stanislaus,2019,120,,,1,,1,114,,0,274,7.149122807,0,114,
Statewide,2015,11728,,2881,,2402,,1713,,0,365,18.8924004,3,12053,
Statewide,2016,12933,,1820,,1567,,14874,,0,365,12.90799562,1,11847,
Statewide,2017,14646,,1864,,1485,,16408,,0,365,11.33730993,0,13118,
Statewide,2018,14169,,1909,,1400,,15712,,0,365,11.67373835,1,13196,
Statewide,2019,14030,,1704,,1033,,14813,,0,359,9.494489147,0,12890,
Sutter,2015,40,,,1,,1,,1,0,87,7.404255319,0,43,
Sutter,2016,30,,,1,,1,33,,0,171,8.34375,1,28,
Sutter,2017,57,,,1,,1,69,,0,183,9.294117647,1,40,
Sutter,2018,63,,16,,,1,,2,0,125,9.790123457,4,67,
Sutter,2019,61,,14,,,1,,2,0,262,13.56578947,3,60,
Tehama,2015,12,,,1,,1,,1,0,103,17.3125,6.5,16,
Tehama,2016,13,,,1,,1,17,,0,64,12.88235294,2,18,
Tehama,2017,15,,,1,0,,,2,0,15,3.941176471,1,14,
Tehama,2018,,1,,1,,1,13,,0,101,20.25,10.5,12,
Tehama,2019,,1,,1,0,,,1,1,8,4.333333333,4,,1
Trinity,2015,,1,,1,0,,0,,4,20,12,12,,1
Trinity,2016,0,,,1,0,,,1,8,8,8,8,,1
Trinity,2017,,1,,1,,1,,1,0,33,12.66666667,7.5,,1
Trinity,2018,,1,0,,,1,,1,1,285,95.66666667,1,,1
Tulare,2015,141,,,1,,1,,1,0,100,3,0,108,
Tulare,2016,98,,,1,,1,101,,0,149,3.15,0,81,
Tulare,2017,103,,,1,,1,113,,0,235,9.123893805,0,100,
Tulare,2018,156,,,1,,1,164,,0,289,6.957317073,0,128,
Tulare,2019,112,,,1,,1,115,,0,312,9.426086957,0,102,
Tuolumne,2015,27,,,1,,1,,1,0,29,3,0,22,
Tuolumne,2016,16,,,1,,1,21,,0,210,19.14285714,0,16,
Tuolumne,2017,23,,,1,,1,24,,0,103,7.458333333,0,23,
Tuolumne,2018,17,,,1,0,,,2,0,14,1.529411765,0,16,
Tuolumne,2019,31,,,1,,1,32,,0,156,10.1875,0,27,
Ventura,2015,372,,50,,50,,47,,0,328,14.33253012,3,323,
Ventura,2016,323,,54,,40,,385,,0,346,15.83597884,3,302,
Ventura,2017,324,,51,,39,,357,,0,345,16.83190883,2,279,
Ventura,2018,272,,34,,27,,292,,0,280,13.29513889,2,233,
Ventura,2019,213,,38,,39,,246,,0,341,19.32653061,3,218,
Very Large Counties (LA),2015,4686,,1421,,1060,,757,,0,365,20.41989479,4,4819,
Very Large Counties (LA),2016,5110,,780,,659,,5978,,0,361,12.47959184,1,4540,
Very Large Counties (LA),2017,5827,,830,,625,,6608,,0,365,11.89514891,1,5090,
Very Large Counties (LA),2018,5274,,812,,574,,5947,,0,364,12.47951029,1,5013,
Very Large Counties (LA),2019,5404,,517,,324,,5652,,0,354,7.573352232,0,4695,
Yolo,2015,43,,13,,19,,,1,0,340,31.23809524,7,51,
Yolo,2016,59,,12,,26,,83,,0,315,33.32467532,5,72,
Yolo,2017,80,,30,,16,,113,,0,350,23.38392857,6,88,
Yolo,2018,86,,24,,32,,114,,0,344,29.15454545,7,107,
Yolo,2019,87,,21,,,1,,2,0,221,13.39784946,4,90,
Yuba,2015,37,,,1,,1,,1,0,222,12.38636364,0.5,34,
Yuba,2016,30,,,1,,1,28,,0,167,9.178571429,1,28,
Yuba,2017,58,,12,,0,,66,,0,30,4.196969697,1,47,
Yuba,2018,51,,18,,,1,,2,0,119,11.84722222,3,56,
Yuba,2019,61,,,1,,1,61,,0,170,9.606557377,4,51,
